5,0.00583049
6,9.93048692
5,25.11858216
4,26.72874681
3,32.8979288
4,35.49602985
5,40.29057578
4,50.5156177
5,55.0754162
4,56.16471015
3,56.75151061
4,69.02232842
5,77.89057546
4,82.58541104
3,83.00385962
4,87.76791934
5,87.98247578
6,88.18376629
7,88.92196362
6,91.55431695
7,93.56576477
8,93.83394779
9,94.2357366
8,95.87837727
7,96.34774501
8,100.65582725
7,111.82132685
8,113.54707967
7,118.3091401
6,120.79020829
5,129.77427481
6,132.07126408
7,132.30578691
6,138.74418451
5,139.04632179
4,141.62636378
5,142.24773151
6,146.5551364
