5,0.0059189
6,9.2959172
5,22.60644515
4,23.05988652
5,24.87026646
6,26.0094884
7,28.7926019
8,30.87137248
7,41.04755097
6,41.33265901
5,43.310584
4,44.31543715
3,44.71882816
2,45.18807117
3,55.27899691
4,55.61404361
5,55.83320057
6,56.01768369
7,56.33651587
6,57.14008403
5,57.35782787
4,57.57577777
5,62.48732853
4,66.79578655
3,67.14785538
4,82.3553861
3,82.70466818
2,82.97299803
1,104.26306461
2,106.1749955
1,106.54329899
2,114.52205685
1,119.53518738
2,122.53599499
3,124.54704296
2,127.24598525
1,147.76466799
2,148.82153881
1,149.20732981
2,151.80489483
3,152.77789563
2,153.66630326
1,154.65458702
2,160.1201433
3,160.7064397
4,164.16061408
